date,time,ip,leap_status,stratum,rfc_5905_1-3,rfc_5905_3-5,delay_tests,local_poll,remote_poll,score,estimated_local_error,peer_delay,peer_dispersion,root_delay,root_dispersion,reference_id,ntp_mode,transmit_timestamp_source,receive_timestamp_source
2021-12-19,05:01:15,129.6.15.29,N,1,111,111,1111,10,13,1.00,-2.060e-03,3.078e-02,3.177e-07,2.441e-04,4.883e-04,4E495354,4B,D,K
2021-12-19,05:09:58,129.6.15.28,N,1,111,111,1111,10,13,0.70,2.562e-03,2.597e-02,3.458e-07,2.441e-04,4.883e-04,4E495354,4B,D,K
2021-12-19,05:18:38,129.6.15.29,N,1,111,111,1101,10,13,1.00,-4.487e-02,1.167e-01,3.436e-07,2.441e-04,4.883e-04,4E495354,4B,D,K
2021-12-19,05:27:10,129.6.15.28,N,1,111,111,1111,10,13,0.64,2.058e-04,2.123e-02,3.340e-07,2.441e-04,4.883e-04,4E495354,4B,D,K
2021-12-19,05:35:58,129.6.15.29,N,1,111,111,1111,10,13,0.94,-4.417e-04,1.939e-02,3.188e-07,2.441e-04,4.883e-04,4E495354,4B,D,K
2021-12-19,05:44:19,129.6.15.28,N,1,111,111,1111,10,13,0.61,1.624e-03,2.469e-02,3.518e-07,2.441e-04,4.883e-04,4E495354,4B,D,K
2021-12-19,05:53:22,129.6.15.29,N,1,111,111,1111,10,13,0.88,9.547e-04,2.335e-02,3.453e-07,2.441e-04,4.883e-04,4E495354,4B,D,K
2021-12-19,06:01:32,129.6.15.28,N,1,111,111,1111,10,13,0.61,9.588e-03,3.997e-02,3.571e-07,2.441e-04,4.883e-04,4E495354,4B,D,K
2021-12-19,06:10:35,129.6.15.29,N,1,111,111,1111,10,13,0.84,1.417e-03,2.377e-02,3.545e-07,2.441e-04,4.883e-04,4E495354,4B,D,K
2021-12-19,06:18:47,129.6.15.28,N,1,111,111,1101,10,13,0.63,1.964e-02,7.267e-02,3.283e-07,2.441e-04,4.883e-04,4E495354,4B,D,K
2021-12-19,06:27:56,129.6.15.29,N,1,111,111,1111,10,13,0.78,1.627e-03,2.401e-02,3.433e-07,2.441e-04,4.883e-04,4E495354,4B,D,K
2021-12-19,06:35:52,129.6.15.28,N,1,111,111,1111,10,13,0.65,1.730e-03,2.400e-02,3.186e-07,2.441e-04,4.883e-04,4E495354,4B,D,K
2021-12-19,06:45:15,129.6.15.29,N,1,111,111,1111,10,13,0.72,1.072e-03,2.353e-02,3.829e-07,2.441e-04,4.883e-04,4E495354,4B,D,K
2021-12-19,06:53:02,129.6.15.28,N,1,111,111,1101,10,13,0.67,2.020e-02,6.769e-02,3.230e-07,2.441e-04,4.883e-04,4E495354,4B,D,K
2021-12-19,07:02:39,129.6.15.29,N,1,111,111,1111,10,13,0.66,1.463e-03,2.381e-02,3.463e-07,2.441e-04,4.883e-04,4E495354,4B,D,K
2021-12-19,07:10:19,129.6.15.28,N,1,111,111,1111,10,13,0.70,1.247e-03,2.325e-02,3.170e-07,2.441e-04,4.883e-04,4E495354,4B,D,K
2021-12-19,07:19:49,129.6.15.29,N,1,111,111,1111,10,13,0.62,9.869e-04,2.259e-02,3.399e-07,2.441e-04,4.883e-04,4E495354,4B,D,K
2021-12-19,07:27:24,129.6.15.28,N,1,111,111,1111,10,13,0.74,1.505e-03,2.390e-02,3.165e-07,2.441e-04,4.883e-04,4E495354,4B,D,K
2021-12-19,07:37:03,129.6.15.29,N,1,111,111,1111,10,13,0.59,1.661e-03,2.417e-02,3.327e-07,2.441e-04,4.883e-04,4E495354,4B,D,K
2021-12-19,07:44:30,129.6.15.28,N,1,111,111,1111,10,13,0.81,2.696e-03,2.663e-02,3.163e-07,2.441e-04,4.883e-04,4E495354,4B,D,K
2021-12-19,07:54:09,129.6.15.29,N,1,111,111,1111,10,13,0.59,-5.112e-04,2.821e-02,3.255e-07,2.441e-04,4.883e-04,4E495354,4B,D,K
2021-12-19,08:01:41,129.6.15.28,N,1,111,111,1101,10,13,0.83,-6.145e-03,3.887e-02,3.172e-07,2.441e-04,4.883e-04,4E495354,4B,D,K
2021-12-19,08:11:28,129.6.15.29,N,1,111,111,1111,10,13,0.61,1.776e-03,2.451e-02,3.238e-07,2.441e-04,4.883e-04,4E495354,4B,D,K
2021-12-19,08:28:37,129.6.15.29,N,1,111,111,1111,10,13,0.64,1.627e-03,2.416e-02,3.215e-07,2.441e-04,4.883e-04,4E495354,4B,D,K
2021-12-19,08:36:04,129.6.15.28,N,1,111,111,1111,10,13,0.94,1.384e-03,2.412e-02,3.159e-07,2.441e-04,4.883e-04,4E495354,4B,D,K
2021-12-19,08:45:53,129.6.15.29,N,1,111,111,1111,10,13,0.69,-1.580e-04,2.525e-02,3.199e-07,2.441e-04,4.883e-04,4E495354,4B,D,K
2021-12-19,08:53:17,129.6.15.28,N,1,111,111,1111,10,13,0.88,1.357e-03,2.363e-02,3.160e-07,2.441e-04,4.883e-04,4E495354,4B,D,K
2021-12-19,09:03:14,129.6.15.29,N,1,111,111,1111,10,13,0.75,5.116e-04,2.649e-02,3.206e-07,2.441e-04,4.883e-04,4E495354,4B,D,K
2021-12-19,09:10:28,129.6.15.28,N,1,111,111,1111,10,13,0.84,1.203e-03,2.372e-02,3.163e-07,2.441e-04,4.883e-04,4E495354,4B,D,K
2021-12-19,09:20:38,129.6.15.29,N,1,111,111,1111,10,13,0.83,1.628e-03,2.474e-02,3.194e-07,2.441e-04,4.883e-04,4E495354,4B,D,K
2021-12-19,09:27:36,129.6.15.28,N,1,111,111,1111,10,13,0.78,-2.770e-04,2.187e-02,3.153e-07,2.441e-04,4.883e-04,4E495354,4B,D,K
2021-12-19,09:37:59,129.6.15.29,N,1,111,111,1111,10,13,0.92,2.295e-03,2.603e-02,3.187e-07,2.441e-04,4.883e-04,4E495354,4B,D,K
2021-12-19,09:44:53,129.6.15.28,N,1,111,111,1111,10,13,0.75,5.514e-04,2.223e-02,3.224e-07,2.441e-04,4.883e-04,4E495354,4B,D,K
2021-12-19,09:55:05,129.6.15.29,N,1,111,111,1111,10,13,1.00,1.198e-03,2.354e-02,3.178e-07,2.441e-04,4.883e-04,4E495354,4B,D,K
2021-12-19,10:02:18,129.6.15.28,N,1,111,111,1111,10,13,0.75,2.568e-03,2.666e-02,3.228e-07,2.441e-04,4.883e-04,4E495354,4B,D,K
2021-12-19,10:12:16,129.6.15.29,N,1,111,111,1111,10,13,1.00,1.333e-03,2.415e-02,3.170e-07,2.441e-04,4.883e-04,4E495354,4B,D,K
2021-12-19,10:19:29,129.6.15.28,N,1,111,111,1111,10,13,0.77,1.919e-03,2.554e-02,3.204e-07,2.441e-04,4.883e-04,4E495354,4B,D,K
2021-12-19,10:29:37,129.6.15.29,N,1,111,111,1111,10,13,1.00,1.136e-03,2.270e-02,3.163e-07,2.441e-04,4.883e-04,4E495354,4B,D,K
2021-12-19,10:36:44,129.6.15.28,N,1,111,111,1111,10,13,0.80,8.874e-04,2.353e-02,3.185e-07,2.441e-04,4.883e-04,4E495354,4B,D,K
2021-12-19,10:46:41,129.6.15.29,N,1,111,111,1111,10,13,1.00,1.462e-03,2.407e-02,3.159e-07,2.441e-04,4.883e-04,4E495354,4B,D,K
2021-12-19,10:53:54,129.6.15.28,N,1,111,111,1101,10,13,0.82,-8.242e-04,3.141e-02,3.186e-07,2.441e-04,4.883e-04,4E495354,4B,D,K
2021-12-19,11:03:58,129.6.15.29,N,1,111,111,1111,10,13,1.00,1.663e-03,2.442e-02,3.157e-07,2.441e-04,4.883e-04,4E495354,4B,D,K
2021-12-19,11:10:58,129.6.15.28,N,1,111,111,1111,10,13,0.82,1.198e-03,2.366e-02,3.174e-07,2.441e-04,4.883e-04,4E495354,4B,D,K
2021-12-19,11:21:10,129.6.15.29,N,1,111,111,1111,10,13,1.00,2.182e-03,2.501e-02,3.156e-07,2.441e-04,4.883e-04,4E495354,4B,D,K
2021-12-19,11:28:13,129.6.15.28,N,1,111,111,1111,10,13,0.75,1.371e-03,2.347e-02,3.205e-07,2.441e-04,4.883e-04,4E495354,4B,D,K
2021-12-19,11:38:16,129.6.15.29,N,1,111,111,1101,10,13,1.00,1.016e-02,5.059e-02,3.172e-07,2.441e-04,4.883e-04,4E495354,4B,D,K
2021-12-19,11:45:35,129.6.15.28,N,1,111,111,1111,10,13,0.72,1.565e-03,2.419e-02,3.206e-07,2.441e-04,4.883e-04,4E495354,4B,D,K
2021-12-19,11:55:30,129.6.15.29,N,1,111,111,1111,10,13,1.00,1.520e-03,2.413e-02,3.154e-07,2.441e-04,4.883e-04,4E495354,4B,D,K
2021-12-19,12:02:45,129.6.15.28,N,1,111,111,1111,10,13,0.72,7.227e-04,2.670e-02,3.182e-07,2.441e-04,4.883e-04,4E495354,4B,D,K
2021-12-19,12:12:47,129.6.15.29,N,1,111,111,1111,10,13,1.00,1.071e-03,2.339e-02,3.152e-07,2.441e-04,4.883e-04,4E495354,4B,D,K
2021-12-19,12:20:03,129.6.15.28,N,1,111,111,1101,10,13,0.74,1.821e-02,5.706e-02,3.312e-07,2.441e-04,4.883e-04,4E495354,4B,D,K
2021-12-19,12:30:11,129.6.15.29,N,1,111,111,1111,10,13,1.00,6.012e-04,2.638e-02,3.152e-07,2.441e-04,4.883e-04,4E495354,4B,D,K
2021-12-19,12:47:16,129.6.15.29,N,1,111,111,1111,10,13,1.00,1.003e-03,2.349e-02,3.151e-07,2.441e-04,4.883e-04,4E495354,4B,D,K
2021-12-19,12:54:23,129.6.15.28,N,1,111,111,1111,10,13,1.00,9.594e-04,2.452e-02,3.213e-07,2.441e-04,4.883e-04,4E495354,4B,D,K
2021-12-19,13:04:33,129.6.15.29,N,1,111,111,1111,10,13,1.00,1.309e-03,2.339e-02,3.149e-07,2.441e-04,4.883e-04,4E495354,4B,D,K
2021-12-19,13:11:29,129.6.15.28,N,1,111,111,1111,10,13,1.00,1.834e-03,2.492e-02,3.191e-07,2.441e-04,4.883e-04,4E495354,4B,D,K
2021-12-19,13:21:39,129.6.15.29,N,1,111,111,1111,10,13,1.00,1.086e-03,2.301e-02,3.148e-07,2.441e-04,4.883e-04,4E495354,4B,D,K
2021-12-19,13:28:44,129.6.15.28,N,1,111,111,1111,10,13,1.00,1.518e-03,2.457e-02,3.182e-07,2.441e-04,4.883e-04,4E495354,4B,D,K
2021-12-19,13:38:54,129.6.15.29,N,1,111,111,1111,10,13,1.00,9.015e-04,2.315e-02,3.147e-07,2.441e-04,4.883e-04,4E495354,4B,D,K
2021-12-19,13:46:03,129.6.15.28,N,1,111,111,1101,10,13,1.00,3.057e-02,8.234e-02,3.259e-07,2.441e-04,4.883e-04,4E495354,4B,D,K
2021-12-19,13:56:17,129.6.15.29,N,1,111,111,1111,10,13,1.00,9.393e-04,2.334e-02,3.146e-07,2.441e-04,4.883e-04,4E495354,4B,D,K
2021-12-19,14:13:33,129.6.15.29,N,1,111,111,1111,10,13,1.00,9.163e-04,2.447e-02,3.146e-07,2.441e-04,4.883e-04,4E495354,4B,D,K
2021-12-19,14:20:40,129.6.15.28,N,1,111,111,1111,10,13,1.00,9.611e-04,2.459e-02,3.175e-07,2.441e-04,4.883e-04,4E495354,4B,D,K
2021-12-19,14:30:48,129.6.15.29,N,1,111,111,1111,10,13,1.00,1.232e-03,2.379e-02,3.146e-07,2.441e-04,4.883e-04,4E495354,4B,D,K
2021-12-19,14:37:58,129.6.15.28,N,1,111,111,1111,10,13,0.94,1.640e-03,2.662e-02,3.170e-07,2.441e-04,4.883e-04,4E495354,4B,D,K
2021-12-19,14:48:10,129.6.15.29,N,1,111,111,1111,10,13,1.00,-1.391e-04,2.098e-02,3.145e-07,2.441e-04,4.883e-04,4E495354,4B,D,K
2021-12-19,14:55:16,129.6.15.28,N,1,111,111,1111,10,13,0.91,1.588e-03,2.464e-02,3.265e-07,2.441e-04,4.883e-04,4E495354,4B,D,K
2021-12-19,15:05:25,129.6.15.29,N,1,111,111,1111,10,13,1.00,1.030e-03,2.349e-02,3.146e-07,2.441e-04,4.883e-04,4E495354,4B,D,K
2021-12-19,15:12:24,129.6.15.28,N,1,111,111,1111,10,13,0.84,1.694e-03,2.527e-02,3.231e-07,2.441e-04,4.883e-04,4E495354,4B,D,K
2021-12-19,15:22:49,129.6.15.29,N,1,111,111,1111,10,13,1.00,9.444e-04,2.290e-02,3.148e-07,2.441e-04,4.883e-04,4E495354,4B,D,K
2021-12-19,15:40:04,129.6.15.29,N,1,111,111,1111,10,13,0.94,1.147e-03,2.670e-02,3.151e-07,2.441e-04,4.883e-04,4E495354,4B,D,K
2021-12-19,15:46:55,129.6.15.28,N,1,111,111,1111,10,13,0.94,1.761e-03,2.510e-02,3.326e-07,2.441e-04,4.883e-04,4E495354,4B,D,K
2021-12-19,15:57:18,129.6.15.29,N,1,111,111,1111,10,13,0.88,8.510e-04,2.280e-02,3.516e-07,2.441e-04,4.883e-04,4E495354,4B,D,K
2021-12-19,16:04:00,129.6.15.28,N,1,111,111,1111,10,13,0.91,1.695e-03,2.464e-02,3.324e-07,2.441e-04,4.883e-04,4E495354,4B,D,K
2021-12-19,16:14:41,129.6.15.29,N,1,111,111,1111,10,13,0.81,7.486e-04,2.296e-02,3.426e-07,2.441e-04,4.883e-04,4E495354,4B,D,K
2021-12-19,16:21:06,129.6.15.28,N,1,111,111,1111,10,13,0.84,1.639e-03,2.480e-02,3.255e-07,2.441e-04,4.883e-04,4E495354,4B,D,K
2021-12-19,16:31:46,129.6.15.29,N,1,111,111,1111,10,13,0.78,2.343e-03,2.586e-02,3.312e-07,2.441e-04,4.883e-04,4E495354,4B,D,K
2021-12-19,16:38:16,129.6.15.28,N,1,111,111,1111,10,13,0.81,1.504e-03,2.396e-02,3.150e-07,2.441e-04,4.883e-04,4E495354,4B,D,K
2021-12-19,16:48:51,129.6.15.29,N,1,111,111,1111,10,13,0.72,-6.762e-04,1.967e-02,3.246e-07,2.441e-04,4.883e-04,4E495354,4B,D,K
2021-12-19,16:55:38,129.6.15.28,N,1,111,111,1111,10,13,0.75,-6.866e-04,2.139e-02,3.160e-07,2.441e-04,4.883e-04,4E495354,4B,D,K
2021-12-19,17:06:02,129.6.15.29,N,1,111,111,1111,10,13,0.66,1.783e-03,2.447e-02,3.548e-07,2.441e-04,4.883e-04,4E495354,4B,D,K
2021-12-19,17:23:06,129.6.15.29,N,1,111,111,1111,10,13,0.62,1.073e-03,2.386e-02,3.817e-07,2.441e-04,4.883e-04,4E495354,4B,D,K
2021-12-19,17:40:26,129.6.15.29,N,1,111,111,1111,10,13,0.56,1.023e-03,2.312e-02,3.540e-07,2.441e-04,4.883e-04,4E495354,4B,D,K
2021-12-19,17:47:34,129.6.15.28,N,1,111,111,1111,10,13,0.97,1.793e-03,2.422e-02,3.516e-07,2.441e-04,4.883e-04,4E495354,4B,D,K
2021-12-19,17:57:48,129.6.15.29,N,1,111,111,1111,10,13,0.53,2.719e-03,2.648e-02,3.895e-07,2.441e-04,4.883e-04,4E495354,4B,D,K
2021-12-19,18:04:56,129.6.15.28,N,1,111,111,1111,10,13,0.91,1.242e-03,2.566e-02,3.455e-07,2.441e-04,4.883e-04,4E495354,4B,D,K
2021-12-19,18:15:03,129.6.15.29,N,1,111,111,1111,10,13,0.53,1.378e-03,2.379e-02,3.575e-07,2.441e-04,4.883e-04,4E495354,4B,D,K
2021-12-19,18:22:08,129.6.15.28,N,1,111,111,1111,10,13,0.84,1.456e-03,2.866e-02,3.744e-07,2.441e-04,4.883e-04,4E495354,4B,D,K
2021-12-19,18:32:27,129.6.15.29,N,1,111,111,1111,10,13,0.55,-4.124e-05,2.099e-02,3.379e-07,2.441e-04,4.883e-04,4E495354,4B,D,K
2021-12-19,18:39:24,129.6.15.28,N,1,111,111,1111,10,13,0.78,1.327e-03,2.366e-02,3.625e-07,2.441e-04,4.883e-04,4E495354,4B,D,K
2021-12-19,18:49:35,129.6.15.29,N,1,111,111,1111,10,13,0.58,1.452e-03,2.386e-02,3.331e-07,2.441e-04,4.883e-04,4E495354,4B,D,K
2021-12-19,18:56:41,129.6.15.28,N,1,111,111,1111,10,13,0.72,1.030e-03,2.581e-02,3.508e-07,2.441e-04,4.883e-04,4E495354,4B,D,K
2021-12-19,19:06:40,129.6.15.29,N,1,111,111,1111,10,13,0.62,2.104e-03,2.518e-02,3.297e-07,2.441e-04,4.883e-04,4E495354,4B,D,K
2021-12-19,19:14:03,129.6.15.28,N,1,111,111,1111,10,13,0.66,1.164e-03,2.449e-02,3.357e-07,2.441e-04,4.883e-04,4E495354,4B,D,K
2021-12-19,19:23:52,129.6.15.29,N,1,111,111,1111,10,13,0.69,1.419e-03,2.351e-02,3.261e-07,2.441e-04,4.883e-04,4E495354,4B,D,K
2021-12-19,19:41:13,129.6.15.29,N,1,111,111,1111,10,13,0.77,8.723e-04,2.487e-02,3.242e-07,2.441e-04,4.883e-04,4E495354,4B,D,K
2021-12-19,19:48:48,129.6.15.28,N,1,111,111,1111,10,13,0.88,1.297e-03,2.421e-02,3.203e-07,2.441e-04,4.883e-04,4E495354,4B,D,K
2021-12-19,19:58:32,129.6.15.29,N,1,111,111,1111,10,13,0.86,2.818e-04,2.571e-02,3.229e-07,2.441e-04,4.883e-04,4E495354,4B,D,K
2021-12-19,20:05:54,129.6.15.28,N,1,111,111,1111,10,13,0.84,5.651e-04,2.754e-02,3.209e-07,2.441e-04,4.883e-04,4E495354,4B,D,K
2021-12-19,20:15:38,129.6.15.29,N,1,111,111,1111,10,13,0.97,1.294e-03,2.358e-02,3.210e-07,2.441e-04,4.883e-04,4E495354,4B,D,K
2021-12-19,20:23:03,129.6.15.28,N,1,111,111,1111,10,13,0.84,1.776e-03,2.485e-02,3.205e-07,2.441e-04,4.883e-04,4E495354,4B,D,K
2021-12-19,20:32:43,129.6.15.29,N,1,111,111,1111,10,13,1.00,2.199e-03,2.588e-02,3.204e-07,2.441e-04,4.883e-04,4E495354,4B,D,K
2021-12-19,20:40:20,129.6.15.28,N,1,111,111,1101,10,13,0.86,-3.953e-03,3.410e-02,3.215e-07,2.441e-04,4.883e-04,4E495354,4B,D,K
2021-12-19,20:50:01,129.6.15.29,N,1,111,111,1111,10,13,1.00,1.704e-03,2.389e-02,3.193e-07,2.441e-04,4.883e-04,4E495354,4B,D,K
2021-12-19,20:57:42,129.6.15.28,N,1,111,111,1111,10,13,0.88,1.365e-03,2.441e-02,3.193e-07,2.441e-04,4.883e-04,4E495354,4B,D,K
2021-12-19,21:07:16,129.6.15.29,N,1,111,111,1111,10,13,1.00,9.838e-04,2.378e-02,3.185e-07,2.441e-04,4.883e-04,4E495354,4B,D,K
2021-12-19,21:15:02,129.6.15.28,N,1,111,111,1111,10,13,0.91,3.393e-03,2.760e-02,3.174e-07,2.441e-04,4.883e-04,4E495354,4B,D,K
2021-12-19,21:24:30,129.6.15.29,N,1,111,111,1111,10,13,1.00,8.197e-04,2.396e-02,3.179e-07,2.441e-04,4.883e-04,4E495354,4B,D,K
2021-12-19,21:32:09,129.6.15.28,N,1,111,111,1111,10,13,0.94,1.841e-03,2.427e-02,3.193e-07,2.441e-04,4.883e-04,4E495354,4B,D,K
2021-12-19,21:41:48,129.6.15.29,N,1,111,111,1111,10,13,1.00,-1.461e-03,3.046e-02,3.184e-07,2.441e-04,4.883e-04,4E495354,4B,D,K
2021-12-19,21:49:25,129.6.15.28,N,1,111,111,1111,10,13,0.96,1.676e-03,2.396e-02,3.180e-07,2.441e-04,4.883e-04,4E495354,4B,D,K
2021-12-19,21:59:03,129.6.15.29,N,1,111,111,1101,10,13,1.00,4.006e-02,1.049e-01,3.294e-07,2.441e-04,4.883e-04,4E495354,4B,D,K
2021-12-19,22:16:17,129.6.15.29,N,1,111,111,1111,10,13,1.00,1.274e-03,2.413e-02,3.174e-07,2.441e-04,4.883e-04,4E495354,4B,D,K
2021-12-19,22:24:02,129.6.15.28,N,1,111,111,1111,10,13,1.00,1.504e-03,2.374e-02,3.181e-07,2.441e-04,4.883e-04,4E495354,4B,D,K
2021-12-19,22:33:34,129.6.15.29,N,1,111,111,1111,10,13,1.00,-4.170e-04,2.010e-02,3.165e-07,2.441e-04,4.883e-04,4E495354,4B,D,K
